Dashboard (resumen rápido),
,
KPIs,
Costo variable por pizza,"$3,018.19"
Costo variable por lote,"$18,109.17"
Costo fijo mensual,$0.00
Costo fijo por pizza (según producción),$0.00
Costo total por pizza (variable + fijo/pizza),"$3,018.19"
,
,
Precio y margen (desde hoja 1),
Precio de venta por pizza,$0.00
Comisión/descuento (%),0.0%
Ganancia bruta ($) (variable),"-$3,018.19"
Margen bruto (%) (variable),0.0%
Precio sugerido (margen objetivo),"$6,036.39"
,
"Recordatorio: actualizá precios de materias primas seguido.
Podés agregar más ingredientes o productos copiando filas.",
