Lista de Precios por Producto + Márgenes,,,,,
,,,,,
CONFIGURACIÓN (celdas amarillas),,,,,
Usar costo variable (recomendado) o costo total (incluye fijos),VARIABLE,,,,
Costo variable base (desde hoja 1),"$3,018.19",,,,
Costo total base (variable + fijos/pizza),"$3,018.19",,,,
Costo elegido (según B4),"$3,018.19",,,,
,,,,,
,,,,,
PRODUCTOS (completá precios; márgenes salen solos),,,,,
Producto,Precio venta ($),Costo usado ($),Ganancia ($),Margen (%),Notas
Pizza muzza (congelada),$0,"$3,018.19","-$3,018.19",0.0%,
Pizza especial,$0,"$3,018.19","-$3,018.19",0.0%,
Pizza napolitana,$0,"$3,018.19","-$3,018.19",0.0%,
Pizza fugazzeta,$0,"$3,018.19","-$3,018.19",0.0%,
